distinct_id,event_name,page_category,person_opk,ts,uri_path,utm_source
857ad6af0511fe542c26551f5558bb6f,pageview,home,25b7f61367a4732924321fbcd3adc391,1493662621918,/,c822c1b63853ed273b89687ac505f9fa
b0092ca810f2e01d331837811e9b331f,pageview,search,,1493676237607,/search/,c822c1b63853ed273b89687ac505f9fa
3dc50792c7fabd9062e2c889e7e189bf,pageview,home,,1493608507595,/,
705f9be11093e8a169000fda43782d5b,pageview,home,29b5a3a1c239f69e20ca0f49f2e3ad1d,1493599885733,/,
5d075d87427b1757c7f988647435a198,pageview,search,,1493652822724,/search/,c822c1b63853ed273b89687ac505f9fa
15830348133433b744ef656fb2bf3694,pageview,search,,1493648549777,/search/,13b32797a6edab389183e4738d4b2b5e
2603dbc97fbcde959c51b47a5491ea04,pageview,home,1b34f02690353034144027a24879df66,1493612605463,/,9113d19048abb65bbff551b3417301d6
af9384e998f069ca0c57f71aec2789d8,pageview,home,,1493669829973,/,
822b09364ccaf9abb5a849aa0f537453,pageview,home,cdc9d7cdb159c4d192f5515bf2b1652b,1493650642395,/,c822c1b63853ed273b89687ac505f9fa
399493a8b9f0b26c03f69330b86eda63,pageview,home,,1493649599550,/,
0291e129eda314a50752de60c8ae48c5,pageview,search,56e427e6a53d14367329d0f5694f637c,1493660596050,/search/,
2315d4daaa8ceb01fb2f0ae2866eb490,pageview,home,,1493663371070,/,
bb55edcb376f34358c292821243950e2,pageview,home,73d321381542253f5e0e8ee73e7d1494,1493639858398,/,
a42558e54c60d733b29c9bae44504db5,pageview,home,,1493678244943,/,
cf0c040e5f1cf7267be59677122c4238,pageview,home,9052ec02e08833e67c6da0b88eeb6be5,1493658676967,/,
33472074c3e47a90d711e3901335b8b5,pageview,home,fbfab9fa7a69363e84cc5e4a866ebc57,1493650062864,/,
9ca1be950f4dd6df84cdf73240643b45,pageview,home,,1493680121035,/,738aa8d3bc02eb8712acd0eb2cf6dfd5
2034670375f8f26cdbe29e48129b872f,pageview,home,,1493642170940,/,
f9b35fd48d729cc91c24cd4896166f91,pageview,home,,1493611120281,/,c822c1b63853ed273b89687ac505f9fa
070837a63f28c7c70c13e1eabc07bd73,pageview,search,,1493671875858,/search/,c822c1b63853ed273b89687ac505f9fa
afd2f1caab7e2546b1552bcb8cb98535,pageview,home,,1493668410148,/,9113d19048abb65bbff551b3417301d6
e261ff16db2459f05161654ab091240d,pageview,home,,1493660931659,/,9113d19048abb65bbff551b3417301d6
d4f3dfb2e8a3c4db7daf6e7b48fa3cef,pageview,search,,1493676596274,/search/,
a16cc09788b5fe458237d01f346c35ec,pageview,search,,1493618890908,/search/,c822c1b63853ed273b89687ac505f9fa
1c5302efbc370c181168198b3a132287,pageview,home,90e928ad61f2202e027a566d053ab8a4,1493656050365,/,
09633090c7ffda1f79b1a71a873c56f3,pageview,search,176b6ff67bfcfcdde3a262223e540e39,1493652820289,/search/,c822c1b63853ed273b89687ac505f9fa
702a8b7b0409029073b045f4e2f9f495,pageview,home,,1493658432238,/,
8b3f76d7a1eadcb3901b4c07161bcdf9,pageview,search,,1493607056597,/search/,
0ffb07b55ea14a295e424ad89e803e94,pageview,home,,1493678249009,/,
60fc8c6152416e1024692c3ee310df0f,pageview,home,b853d577f9fa79d32a2747f0ab584c95,1493648172959,/,
4f472fe8a37f857535ec8648825666c4,pageview,search,,1493667226331,/search/ref=search-header,c822c1b63853ed273b89687ac505f9fa
f36ff99f9ae2a217acef6b14c708a231,pageview,search,,1493679366692,/search/,c822c1b63853ed273b89687ac505f9fa
8f08df81d5dcbefe26d8436cb4630739,pageview,home,,1493645419356,/,
dc2770fa16c438d5620f813d95602c8c,pageview,home,,1493607148044,/,
bf5605bd2b519db81838c0c97ef54103,pageview,home,,1493677874148,/,c822c1b63853ed273b89687ac505f9fa
d9fccb3ed018ea5f4402850423b57d3b,pageview,search,,1493661007020,/search/,
465d7b1bdd8e675e2eb2e5e6e3dfe283,pageview,home,9803dfbfc170acc2fd30e73d1688e6b9,1493665106761,/,48f074fa17f82e80816475181040e35f
6313ff9ed5c35d0096b73cf5678bed2d,pageview,search,2bdf30b8e8c2db002d32cd1680b10523,1493600262174,/search/,9113d19048abb65bbff551b3417301d6
73d7c18284e299029399967d8488e19f,pageview,home,2329eb9b6a53b34323b1100509146874,1493655578742,/,
a4d50ab798598404ff2ab465b0b77253,pageview,home,6a9a36d2305136d6cce8d2a240f310aa,1493669117334,/,9113d19048abb65bbff551b3417301d6
3e22ef5aa85c0afafdd876dfe86b55ce,pageview,home,,1493674392895,/,
8d28c2118419b0e5f080bc001925c005,pageview,home,7e2dde52c6ff14825dcd97f05c7e0c4c,1493680818800,/,
7ac92e7a61adf076097d45bacf9c09e4,pageview,home,,1493672241783,/,
b0f1da466463f3aa6667b7ce71587b1e,pageview,search,02cbf1bb254ff65f41672a332e8eead0,1493641375290,/search/,48f074fa17f82e80816475181040e35f
989aa54daa7630712491cc1282df242a,pageview,home,,1493663212090,/,48f074fa17f82e80816475181040e35f
258b8261344e9b4e8ea1323d14c87dd6,pageview,search,4266040c883baf7dce5590f4e2869189,1493666746480,/search/,9113d19048abb65bbff551b3417301d6
